"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.832877770E-1,1.323803306E0,-1.974002838E0,-2.821191072E0
6.882904850E-1,1.895824075E0,-1.885327339E0,-4.640685558E0
6.932937660E-1,2.240084171E0,-1.841999054E0,-5.768590927E0
6.982973600E-1,2.290578842E0,-1.912316322E0,-6.656592369E0
7.033010060E-1,1.849380255E0,-1.995100021E0,-7.481006622E0
7.083011100E-1,1.200150609E0,-1.811470032E0,-8.117030144E0
7.132984540E-1,3.669528961E-1,-1.415226936E0,-7.949828625E0
7.182953290E-1,1.140233278E-1,-1.238333702E0,-7.380698204E0
7.232922040E-1,-9.865403175E-2,-1.284154892E0,-6.549767017E0
7.282890790E-1,-6.298435926E-1,-1.351354599E0,-5.536047459E0
7.332859540E-1,-1.732604980E0,-1.213790894E0,-4.225451469E0
7.382828290E-1,-2.874103069E0,-1.084778786E0,-2.939564228E0
7.432797040E-1,-3.321597576E0,-1.112230301E0,-1.553566098E0
7.482765790E-1,-3.358994961E0,-1.195732117E0,-3.806174397E-1
7.532734540E-1,-3.141927481E0,-1.375785828E0,4.906846285E-1
7.582703290E-1,-3.059735537E0,-1.778122902E0,1.032106876E0
7.632672040E-1,-2.800670147E0,-2.144536972E0,1.237493992E0
7.682640790E-1,-2.583297253E0,-2.427656174E0,1.213379741E0
7.732609540E-1,-2.653196812E0,-2.727889061E0,1.103096724E0
7.782578290E-1,-2.782817841E0,-2.878210068E0,5.600399971E-1
7.832547040E-1,-2.661450624E0,-3.071962357E0,-5.396111012E-1
7.882515790E-1,-2.397974491E0,-3.120638847E0,-1.211683631E0
7.932484540E-1,-1.591978550E0,-2.903861046E0,-1.667439699E0
7.982453290E-1,-9.181520343E-2,-2.492500305E0,-2.069488287E0
8.032422040E-1,1.813904047E0,-2.185246468E0,-2.545077562E0
8.082390790E-1,3.481809139E0,-1.933569908E0,-3.102761269E0
8.132359540E-1,4.177893639E0,-1.872642517E0,-3.734290600E0
8.182328290E-1,4.342361450E0,-1.686595917E0,-4.716077328E0
8.232297040E-1,3.313467026E0,-1.077441216E0,-6.095712662E0
8.282265790E-1,1.637376070E0,-1.982517242E-1,-7.936358452E0
8.332234540E-1,3.345145583E-1,9.039764404E-1,-1.004428959E1
8.382203290E-1,-3.842965961E-1,1.266697884E0,-1.226388836E1
8.432172040E-1,-2.504055500E-1,2.068358898E0,-1.036623764E1
8.482140790E-1,-5.188636780E-1,3.004621029E0,-6.938411713E0
8.532109540E-1,-3.883484006E-1,3.261616707E0,-5.670186043E0
8.582078290E-1,2.027221918E-1,3.515995502E0,-4.212239265E0
8.632047040E-1,7.890678644E-1,3.676584721E0,-2.940529108E0
8.682019950E-1,8.594433069E-1,3.665771961E0,-2.890608549E0
8.731988180E-1,7.715408206E-1,3.771234989E0,-3.648139715E0
8.781949120E-1,7.072088122E-1,3.724871635E0,-4.907133102E0
8.831910060E-1,8.443090916E-1,3.435560703E0,-6.578907490E0
8.881871000E-1,1.069118381E0,3.595210552E0,-6.999405861E0
8.931831930E-1,7.774455547E-1,3.688818932E0,-6.545793533E0
8.981792870E-1,4.053636789E-1,3.868994236E0,-5.945256710E0
